# Cron vectors derived from Cronos's CronExpressionFacts test suite
# source-class: third-party-comparison (implementation test suite, not an authority)
# source: Cronos -- https://github.com/HangfireIO/Cronos -- tests/Cronos.Tests/CronExpressionFacts.cs
# acquired: 2026-08-05 (delivered user-side; host unreachable from the build env)
# facts-sha256: 2d27080589fc183a1f647468b24053587713e3af52dd346640d98adde1e60bb5
# licence: Cronos is MIT (Copyright (c) 2017 Hangfire OU). Deriving this table and redistributing it
#          with attribution is permitted; the upstream file itself is not committed.
# note: Cronos implements Quartz-flavoured cron. Where it deliberately differs from Vixie, the row is
#       flagged and excluded rather than reconciled -- see corpus/recurrence/README.md.
# flags: quartz-ext        = uses the Quartz L / W / # / ? tokens (Bodu rejects them; planned follow-on)
#        hash              = uses the H jitter token (a Jenkins extension Bodu does not model)
#        cronos-macro      = @every_second / @every_minute, macros Cronos adds beyond crontab(5)
#        wrap-range        = a reversed range such as 55-5 (Cronos wraps; Bodu rejects)
#        oversized-step    = a step wider than its range, e.g. */60 (Cronos throws; cronie warns and
#                            keeps the range start, which is what Bodu does)
#        dom-dow-intersect = both day fields restricted (Cronos intersects; Vixie and Bodu union)
#        seconds-elision   = Cronos drops a zero seconds field from ToString; Bodu renders every field
#        dst               = the row sits within a day of a US Eastern DST transition, where a
#                            zone-free reading of the Cronos fixture is not offset-invariant
name,kind,format,expression,from,expected,flags
next-001,next,withSeconds,* * * * * *,2016-12-09T17:35:00,2016-12-09T17:35:00,
next-002,next,withSeconds,20 * * * * *,2016-12-09T17:35:00,2016-12-09T17:35:20,
next-003,next,withSeconds,20 * * * * *,2016-12-09T17:35:20,2016-12-09T17:35:20,
next-004,next,withSeconds,20 * * * * *,2016-12-09T17:35:40,2016-12-09T17:36:20,
next-005,next,withSeconds,10-30 * * * * *,2016-12-09T17:35:09,2016-12-09T17:35:10,
next-006,next,withSeconds,10-30 * * * * *,2016-12-09T17:35:10,2016-12-09T17:35:10,
next-007,next,withSeconds,10-30 * * * * *,2016-12-09T17:35:20,2016-12-09T17:35:20,
next-008,next,withSeconds,10-30 * * * * *,2016-12-09T17:35:30,2016-12-09T17:35:30,
next-009,next,withSeconds,10-30 * * * * *,2016-12-09T17:35:31,2016-12-09T17:36:10,
next-010,next,withSeconds,*/20 * * * * *,2016-12-09T17:35:00,2016-12-09T17:35:00,
next-011,next,withSeconds,*/20 * * * * *,2016-12-09T17:35:11,2016-12-09T17:35:20,
next-012,next,withSeconds,*/20 * * * * *,2016-12-09T17:35:20,2016-12-09T17:35:20,
next-013,next,withSeconds,*/20 * * * * *,2016-12-09T17:35:25,2016-12-09T17:35:40,
next-014,next,withSeconds,*/20 * * * * *,2016-12-09T17:35:59,2016-12-09T17:36:00,
