# Illustrative AUD/USD daily rates for the CustomProvider sample.
# Business days 2024-01-02 .. 2024-01-31. Synthetic values - NOT published rates.
# Columns: Date,From,To,Rate
Date,From,To,Rate
2024-01-02,AUD,USD,0.6580
2024-01-03,AUD,USD,0.6606
2024-01-04,AUD,USD,0.6629
2024-01-05,AUD,USD,0.6648
2024-01-08,AUD,USD,0.6661
2024-01-09,AUD,USD,0.6668
2024-01-10,AUD,USD,0.6669
2024-01-11,AUD,USD,0.6667
2024-01-12,AUD,USD,0.6663
2024-01-15,AUD,USD,0.6660
2024-01-16,AUD,USD,0.6660
2024-01-17,AUD,USD,0.6663
2024-01-18,AUD,USD,0.6670
2024-01-19,AUD,USD,0.6681
2024-01-22,AUD,USD,0.6694
2024-01-23,AUD,USD,0.6707
2024-01-24,AUD,USD,0.6716
2024-01-25,AUD,USD,0.6721
2024-01-26,AUD,USD,0.6719
2024-01-29,AUD,USD,0.6710
2024-01-30,AUD,USD,0.6695
2024-01-31,AUD,USD,0.6675
