# calcal Modern Hindu Reference corpus (reference-generated; NOT official data).
# Generated: 2026-08-03T07:02:21Z | calcal 1.0.4 | R version 4.3.3 (2024-02-29) | generator sha256 unknown
# Range: 1990-01-01..2039-12-31 | models: modern-hindu-lunar, modern-hindu-solar, old-hindu-lunar, old-hindu-solar | one row per date per model.
# Location/profile: calcal built-in Modern Hindu reference location (Ujjain); amanta month naming.
# Lineage: Reingold-Dershowitz Calendrical Calculations via calcal (Apache-2.0). Old Hindu models are
#   for algorithm-family regression only and must not be compared against modern Panchang expectations.
"gregorian_date","fixed_date","calendar_model","month_system","lunar_year","lunar_month","lunar_day","is_leap_month","is_leap_day","solar_year","solar_month","solar_day","source_class","source_id","source_version","location_id","timezone","utc_offset","transcription_method","quality_status"
"1990-01-01",726468,"modern-hindu-lunar","amanta",2046,10,4,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-02",726469,"modern-hindu-lunar","amanta",2046,10,6,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-03",726470,"modern-hindu-lunar","amanta",2046,10,7,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-04",726471,"modern-hindu-lunar","amanta",2046,10,8,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-05",726472,"modern-hindu-lunar","amanta",2046,10,9,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-06",726473,"modern-hindu-lunar","amanta",2046,10,10,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-07",726474,"modern-hindu-lunar","amanta",2046,10,11,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-08",726475,"modern-hindu-lunar","amanta",2046,10,12,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-09",726476,"modern-hindu-lunar","amanta",2046,10,13,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
"1990-01-10",726477,"modern-hindu-lunar","amanta",2046,10,14,FALSE,FALSE,,,,"reference-generated","calcal-modern-hindu-lunar","1.0.4","calcal-builtin-ujjain","Asia/Kolkata","+05:30","generated","verified"
